shipment_id,dispatch_date,warehouse_id,destination_city,courier_partner,distance_km,weight_kg,items_count,order_value_inr,promised_days,dispatch_hour,is_weekend_dispatch,is_festival_week,rainfall_mm,customer_prior_late_deliveries,customer_segment,payment_method,actual_delivery_days,delivery_note,is_late
SHP005939,2024-07-15,WH-CHD,Lucknow,SwiftEx,1232.6,4.41,1,211.54,3,19,0,0,0.0,0,Retail,Wallet,3,Left with guard,0
SHP005720,2024-11-12,WH-DEL,Guwahati,BlueDart Lite,1362.8,1.94,3,2300.07,2,15,0,1,0.0,1,Business,Netbanking,3,Reattempt scheduled,1
SHP002878,2024-03-18,WH-CHD,Guwahati,ValueShip,1534.2,0.79,2,1054.28,3,16,0,0,5.5,1,Business,COD,4,,1
SHP003273,2024-10-16,WH-BLR, Indore,ValueShip,574.6,4.45,3,2154.11,4,17,0,1,0.0,0,Retail,Netbanking,4,,0
SHP003426,2024-01-31,WH-PUN,Gurugram,CityRunner,1863.4,4.6,3,1402.79,4,21,0,0,4.9,,Wholesale,Netbanking,3,,0
SHP008443,2024-10-09,WH-BLR,Ludhiana,SwiftEx,329.3,1.03,3,665.62,2,16,0,1,11.9,0,Business,UPI,2,,0
SHP001070,2024-12-15,WH-CHD,indore,SwiftEx,1577.5,0.45,3,1523.69,2,21,1,0,6.4,1,Retail,Netbanking,2,,0
SHP005620,2024-11-23,WH-PUN,Bengaluru,ValueShip,661.2,0.45,6,5593.66,3,11,1,1,0.0,1,Retail,Netbanking,2,,0
SHP002008,2024-08-08,WH-BLR,Indore,IndiaPost Express,1326.5,3.05,3,2487.3,3,14,0,0,0.0,0,Wholesale,UPI,4,Customer unavailable,1
SHP006689,2024-01-08,WH-CHD,Jaipur,SwiftEx,604.7,0.8,6,3483.3,2,11,0,0,0.0,0,Wholesale,Netbanking,2,,0
SHP003521,2024-01-19,WH-BLR,Indore,SwiftEx,1952.6,4.73,4,5114.92,2,12,0,0,0.0,0,Wholesale,UPI,2,Delivered on time,0
SHP003385,2024-02-20,WH-DEL,Bengaluru,ValueShip,205.9,3.91,2,1540.08,4,11,0,0,0.4,1,Retail,UPI,4,Left with guard,0
SHP005055,2024-11-17,WH-DEL,Chandigarh,IndiaPost Express,1656.0,4.4,5,6011.57,2,15,1,1,,0,Business,COD,2,,0
SHP007489,2024-04-07,WH-CHD,Indore,BlueDart Lite,1961.4,0.94,6,4828.12,2,16,1,0,0.0,2,Business,Netbanking,2,,0
SHP008343,2024-10-05,WH-BLR,Patna,IndiaPost Express,182.4,0.79,2,1636.76,2,21,1,1,6.1,0,Wholesale,Wallet,2,Left with guard,0
SHP008118,2024-07-03,WH-CHD,lucknow,IndiaPost Express,2839.8,2.24,1,1323.67,4,8,0,0,0.0,1,Business,Card,5,,1
